"id","Gender","Age","Region_Code","Vehicle_Age","Vehicle_Damage","Annual_Premium","Vintage","Response"
296177,"Female",37,"28","1-2 Year","No",48779,284,0
135221,"Male",41,"8","1-2 Year","Yes",2630,132,1
105814,"Male",21,"11","< 1 Year","Yes",57344,156,0
174458,"Male",42,"28","1-2 Year","Yes",33401,166,0
380237,"Female",25,"11","< 1 Year","No",35760,175,0
183554,"Male",33,"46","< 1 Year","Yes",29528,131,1
12473,"Male",43,"28","1-2 Year","Yes",44950,114,0
98159,"Female",40,"41","1-2 Year","No",42238,29,0
294790,"Female",31,"28","1-2 Year","No",2630,132,0
274369,"Female",76,"28","1-2 Year","No",51848,145,0
284271,"Female",73,"28","1-2 Year","No",39108,51,0
65473,"Male",51,"28","1-2 Year","Yes",2630,149,1
282992,"Male",55,"28","1-2 Year","Yes",38452,34,1
200230,"Male",22,"15","< 1 Year","No",32180,71,0
322841,"Male",21,"8","< 1 Year","No",39660,28,0
76128,"Female",20,"30","< 1 Year","Yes",27234,225,0
60798,"Male",39,"41","1-2 Year","Yes",33919,255,0
163634,"Female",37,"28","1-2 Year","No",45413,264,0
368958,"Male",44,"28","1-2 Year","No",36330,270,0
181676,"Male",43,"3","1-2 Year","Yes",23926,292,0
82256,"Male",41,"28","1-2 Year","Yes",32893,87,1
16853,"Female",59,"28","1-2 Year","Yes",2630,163,0
135738,"Male",25,"46","< 1 Year","No",2630,152,0
192505,"Male",72,"50","1-2 Year","Yes",52432,293,0
336669,"Male",51,"28","1-2 Year","No",58623,173,0
61665,"Male",39,"28","1-2 Year","Yes",65524,113,0
228111,"Male",51,"8","1-2 Year","Yes",2630,243,1
156925,"Female",21,"30","< 1 Year","No",35028,13,0
262628,"Male",51,"28","1-2 Year","No",67711,196,0
254916,"Male",47,"28","1-2 Year","No",39433,35,0
361830,"Female",23,"28","1-2 Year","Yes",40193,65,0
161716,"Female",22,"41","< 1 Year","No",31876,242,1
105600,"Female",22,"8","< 1 Year","No",45601,140,0
141458,"Female",32,"46","1-2 Year","No",2630,272,0
143793,"Male",47,"46","1-2 Year","Yes",30106,217,0
36563,"Female",28,"8","< 1 Year","No",36094,125,0
124482,"Female",52,"41","1-2 Year","Yes",35145,96,1
270084,"Female",20,"15","< 1 Year","Yes",27981,189,0
12256,"Male",48,"28","1-2 Year","Yes",76950,225,1
5854,"Female",21,"46","< 1 Year","Yes",28357,106,0
102377,"Male",32,"28","< 1 Year","No",45951,111,0
256207,"Female",41,"28","1-2 Year","Yes",41499,284,1
188922,"Male",35,"28","1-2 Year","Yes",2630,24,0
303567,"Male",22,"41","< 1 Year","No",26396,237,0
49342,"Female",22,"28","< 1 Year","No",37405,257,0
98369,"Female",37,"28","1-2 Year","No",57690,248,0
65055,"Female",22,"8","< 1 Year","Yes",47505,175,0
7012,"Male",34,"3","1-2 Year","Yes",20451,179,0
233358,"Male",33,"30","1-2 Year","Yes",35418,87,0
346198,"Male",34,"28","1-2 Year","Yes",34057,242,1
368111,"Female",26,"11","< 1 Year","No",26271,252,0
91230,"Male",32,"41","< 1 Year","No",38363,16,0
265182,"Female",40,"15","1-2 Year","Yes",29436,192,0
330998,"Female",42,"28","1-2 Year","No",29262,103,0
206829,"Male",24,"41","< 1 Year","No",37656,136,0
77516,"Female",43,"28","1-2 Year","Yes",45677,276,0
70242,"Male",76,"3","1-2 Year","No",2630,253,0
253934,"Female",54,"28","1-2 Year","Yes",29142,125,0
89833,"Female",24,"11","< 1 Year","No",41904,209,0
344883,"Male",43,"28","1-2 Year","Yes",21274,22,0
322368,"Female",50,"41","1-2 Year","Yes",39643,161,1
103352,"Female",35,"28","1-2 Year","Yes",49776,101,0
26052,"Male",27,"46","< 1 Year","No",26702,144,0
237451,"Male",31,"29","1-2 Year","No",24224,209,0
84251,"Female",22,"8","< 1 Year","No",34062,175,0
276560,"Female",47,"28","1-2 Year","Yes",29546,287,0
183879,"Male",77,"29","1-2 Year","No",34471,263,0
63207,"Female",42,"8","1-2 Year","No",50152,37,0
62297,"Female",42,"46","1-2 Year","No",28542,197,0
277906,"Male",31,"8","1-2 Year","No",28674,31,0
191889,"Female",54,"28","1-2 Year","Yes",91969,113,1
251361,"Male",55,"29","1-2 Year","No",38767,129,0
154696,"Female",30,"30","< 1 Year","Yes",21572,179,1
202711,"Female",33,"28","< 1 Year","No",22951,14,0
371941,"Male",36,"28","1-2 Year","Yes",25899,269,1
240973,"Female",51,"41","1-2 Year","Yes",35477,173,1
208086,"Male",30,"28","1-2 Year","Yes",30448,221,0
318647,"Female",23,"28","< 1 Year","No",29139,142,0
33306,"Female",45,"28","1-2 Year","Yes",39142,18,0
39613,"Male",57,"28","1-2 Year","Yes",2630,170,0
115630,"Male",61,"11","1-2 Year","Yes",22704,60,0
350708,"Male",43,"28","1-2 Year","No",40596,81,0
20958,"Male",35,"8","1-2 Year","No",39244,113,0
117821,"Male",42,"28","1-2 Year","Yes",38350,65,1
312377,"Male",49,"46","1-2 Year","No",24841,274,0
341091,"Male",26,"30","1-2 Year","Yes",2630,270,0
309417,"Male",45,"28","1-2 Year","No",31825,281,0
343755,"Male",46,"28","1-2 Year","Yes",39044,236,0
63181,"Female",22,"15","< 1 Year","Yes",38101,87,0
345684,"Male",23,"50","< 1 Year","No",31504,55,0
142695,"Male",61,"8","1-2 Year","No",2630,263,0
348362,"Female",38,"28","1-2 Year","Yes",48694,284,0
66777,"Female",70,"28","> 2 Years","Yes",66784,37,0
341573,"Female",22,"28","< 1 Year","Yes",37461,86,1
183625,"Female",25,"28","< 1 Year","No",36059,145,0
255408,"Female",41,"28","1-2 Year","No",52617,42,0
345845,"Female",23,"46","< 1 Year","Yes",47484,227,0
149455,"Female",65,"28","> 2 Years","Yes",46154,133,0
348495,"Male",43,"28","1-2 Year","No",23252,48,0
228014,"Male",70,"8","1-2 Year","No",35982,132,0
203712,"Female",60,"28","1-2 Year","No",43137,192,0
234386,"Female",30,"28","1-2 Year","Yes",2630,36,0
236766,"Female",25,"8","< 1 Year","No",42888,192,0
53991,"Female",60,"11","1-2 Year","Yes",2630,56,0
190259,"Male",55,"28","1-2 Year","Yes",37596,213,0
115912,"Male",50,"28","1-2 Year","Yes",39254,16,0
336510,"Male",24,"30","< 1 Year","No",34784,281,0
302575,"Male",45,"46","1-2 Year","Yes",29655,100,0
203404,"Male",80,"46","1-2 Year","No",56284,62,0
319385,"Male",42,"11","1-2 Year","No",32465,36,0
50175,"Female",26,"50","< 1 Year","No",62965,173,0
341026,"Female",39,"28","1-2 Year","Yes",33541,118,1
241823,"Male",30,"30","< 1 Year","No",44957,56,0
278703,"Male",26,"46","< 1 Year","No",31282,155,0
282874,"Female",55,"41","< 1 Year","Yes",2630,213,0
342062,"Male",38,"28","1-2 Year","No",33764,29,0
177502,"Female",24,"11","< 1 Year","No",2630,32,0
163728,"Female",66,"8","1-2 Year","Yes",31022,299,1
173705,"Male",22,"28","< 1 Year","No",38024,157,0
181785,"Female",24,"8","< 1 Year","No",31339,227,0
177969,"Male",73,"50","1-2 Year","Yes",30582,109,0
329324,"Male",39,"28","1-2 Year","Yes",2630,59,0
100753,"Male",69,"15","1-2 Year","Yes",54870,292,0
217356,"Female",46,"28","1-2 Year","Yes",48407,187,0
236244,"Male",45,"46","1-2 Year","Yes",26226,100,1
349608,"Male",52,"28","> 2 Years","Yes",62725,218,1
114046,"Female",22,"15","< 1 Year","No",28335,160,0
326007,"Male",25,"11","< 1 Year","No",2630,107,0
260991,"Male",33,"46","< 1 Year","No",19107,92,0
358819,"Female",28,"15","< 1 Year","No",42739,148,0
151521,"Female",42,"15","1-2 Year","Yes",41791,21,0
236828,"Female",30,"29","< 1 Year","No",30189,259,0
343426,"Male",26,"3","< 1 Year","No",20354,31,0
210284,"Female",30,"28","1-2 Year","Yes",27835,50,1
56789,"Male",27,"50","< 1 Year","No",34304,40,0
86246,"Female",56,"28","> 2 Years","Yes",31033,284,0
205636,"Female",26,"41","< 1 Year","Yes",20979,194,1
62223,"Female",22,"30","< 1 Year","No",29298,129,0
47888,"Female",34,"28","1-2 Year","Yes",60624,25,1
147487,"Male",25,"8","< 1 Year","Yes",2630,113,0
207739,"Female",32,"46","1-2 Year","Yes",2630,289,1
341612,"Male",37,"28","1-2 Year","No",2630,249,0
134327,"Female",27,"29","< 1 Year","No",33918,23,0
288653,"Female",24,"11","< 1 Year","No",28100,273,0
195152,"Female",22,"29","< 1 Year","Yes",2630,23,1
366740,"Male",32,"28","< 1 Year","No",24302,23,0
351947,"Female",68,"28","1-2 Year","No",24858,71,0
246193,"Male",37,"30","1-2 Year","No",2630,94,0
60917,"Female",24,"30","< 1 Year","No",25313,97,0
87407,"Female",28,"30","1-2 Year","Yes",2630,125,0
52662,"Female",40,"28","1-2 Year","Yes",51343,232,0
170834,"Male",25,"30","< 1 Year","No",21646,222,0
26083,"Male",44,"28","1-2 Year","No",58445,110,0
323798,"Male",32,"15","1-2 Year","No",36363,104,0
239263,"Female",25,"8","< 1 Year","No",35192,170,0
176991,"Female",27,"28","< 1 Year","No",43943,243,0
88868,"Female",38,"15","1-2 Year","No",45164,56,0
213292,"Male",24,"11","< 1 Year","No",28047,147,0
274035,"Female",41,"28","1-2 Year","Yes",42067,80,0
149331,"Male",23,"28","< 1 Year","No",21453,263,0
83999,"Female",79,"28","> 2 Years","Yes",59044,154,1
15883,"Female",27,"28","< 1 Year","No",30605,72,0
316668,"Female",25,"28","< 1 Year","No",24924,168,0
268838,"Female",29,"41","1-2 Year","No",26162,233,0
226016,"Female",70,"8","1-2 Year","Yes",38979,54,0
274224,"Male",22,"50","< 1 Year","No",41648,99,0
375630,"Male",34,"29","1-2 Year","No",40636,87,0
74316,"Female",23,"11","< 1 Year","Yes",32451,134,0
199888,"Male",34,"15","1-2 Year","No",46974,113,0
128478,"Female",33,"28","1-2 Year","Yes",25363,259,0
104426,"Male",23,"50","< 1 Year","Yes",26643,240,0
307290,"Female",59,"8","1-2 Year","Yes",30808,235,0
265908,"Male",23,"15","< 1 Year","No",48665,255,0
228469,"Female",45,"41","1-2 Year","Yes",2630,297,0
255214,"Male",27,"30","< 1 Year","Yes",2630,17,0
354051,"Male",23,"50","< 1 Year","No",32453,285,0
20045,"Male",54,"28","1-2 Year","No",56179,102,0
91603,"Male",54,"46","1-2 Year","Yes",38481,192,0
316106,"Female",23,"29","< 1 Year","No",46928,294,0
234116,"Male",43,"28","1-2 Year","Yes",28762,106,0
46341,"Female",53,"50","1-2 Year","Yes",32297,170,0
42129,"Male",43,"28","1-2 Year","Yes",33660,179,0
266414,"Male",47,"28","1-2 Year","Yes",37044,28,0
208867,"Female",22,"28","< 1 Year","No",28903,16,0
321066,"Male",24,"28","< 1 Year","No",69971,59,0
202774,"Female",28,"46","< 1 Year","No",33138,227,0
321245,"Female",31,"28","1-2 Year","Yes",31669,205,0
103480,"Male",22,"28","< 1 Year","No",27373,240,0
363606,"Male",52,"28","> 2 Years","Yes",27353,277,0
328703,"Male",67,"8","1-2 Year","No",48595,131,0
76243,"Male",52,"28","1-2 Year","Yes",44267,190,1
267684,"Male",23,"8","< 1 Year","No",63841,64,0
313798,"Female",22,"46","< 1 Year","Yes",27104,142,0
216023,"Male",47,"3","1-2 Year","Yes",30914,31,1
378474,"Male",25,"28","< 1 Year","No",37770,277,0
11029,"Male",26,"15","< 1 Year","No",36190,163,0
147532,"Female",35,"15","1-2 Year","No",34856,49,1
107475,"Male",30,"41","< 1 Year","Yes",31742,249,0
113842,"Male",49,"28","1-2 Year","No",2630,200,0
124289,"Female",46,"15","1-2 Year","Yes",24220,215,0
315108,"Male",21,"8","< 1 Year","Yes",41345,46,0
240998,"Female",47,"28","> 2 Years","Yes",2630,40,0
218963,"Female",28,"50","< 1 Year","No",23352,232,0
150222,"Male",53,"15","1-2 Year","Yes",2630,49,0
310422,"Female",28,"30","< 1 Year","No",32712,148,0
127318,"Female",41,"28","1-2 Year","No",46293,78,0
244793,"Male",73,"28","1-2 Year","Yes",30420,167,0
258084,"Female",69,"8","1-2 Year","No",2630,44,0
251828,"Male",24,"41","< 1 Year","No",41119,235,0
368364,"Male",46,"8","1-2 Year","No",38704,143,0
20413,"Male",33,"28","< 1 Year","Yes",28813,27,0
1610,"Female",42,"8","1-2 Year","Yes",29277,141,1
31051,"Female",35,"11","1-2 Year","No",28628,124,0
129988,"Female",65,"8","1-2 Year","No",41849,262,0
69461,"Male",73,"28","> 2 Years","Yes",66169,74,0
364177,"Male",21,"15","< 1 Year","No",2630,182,0
651,"Female",44,"28","1-2 Year","Yes",26567,215,0
137797,"Male",80,"28","> 2 Years","Yes",23549,108,0
273810,"Male",23,"8","< 1 Year","Yes",41811,248,0
102235,"Female",23,"11","< 1 Year","No",32318,24,0
234953,"Male",21,"3","< 1 Year","No",29024,272,0
115693,"Male",69,"28","1-2 Year","Yes",34186,188,0
347613,"Female",21,"28","< 1 Year","Yes",40734,11,0
256490,"Male",22,"28","< 1 Year","Yes",49854,36,0
138864,"Female",23,"30","< 1 Year","No",32381,16,0
65720,"Male",56,"28","1-2 Year","Yes",2630,228,0
42324,"Female",53,"28","1-2 Year","Yes",2630,68,0
144665,"Male",26,"8","< 1 Year","Yes",75983,234,0
140369,"Male",25,"29","< 1 Year","Yes",31951,260,0
9071,"Male",61,"28","1-2 Year","No",53227,210,0
215658,"Male",52,"41","1-2 Year","No",31606,54,0
172201,"Male",42,"8","1-2 Year","Yes",24682,260,0
286066,"Male",46,"8","1-2 Year","No",2630,257,0
134160,"Male",21,"28","< 1 Year","Yes",85209,116,0
62380,"Female",73,"28","1-2 Year","Yes",74301,126,1
158793,"Female",24,"29","< 1 Year","No",28461,198,0
313647,"Male",21,"50","< 1 Year","No",37586,75,0
199228,"Male",47,"28","1-2 Year","Yes",27760,27,0
308208,"Female",69,"28","1-2 Year","No",34277,180,0
166321,"Female",64,"11","1-2 Year","No",33274,187,0
129397,"Male",24,"8","< 1 Year","No",72442,49,0
108653,"Female",26,"28","< 1 Year","No",28620,187,0
135286,"Female",42,"28","1-2 Year","Yes",26034,185,0
88296,"Male",26,"41","< 1 Year","No",21584,173,0
265871,"Male",29,"30","< 1 Year","No",22427,250,0
48691,"Female",24,"15","< 1 Year","No",41544,130,0
216099,"Male",37,"30","1-2 Year","Yes",2630,226,1
42657,"Male",54,"28","1-2 Year","Yes",42593,267,1
270409,"Male",35,"8","1-2 Year","Yes",46679,275,1
269157,"Male",48,"28","1-2 Year","Yes",49591,290,0
54947,"Female",41,"28","1-2 Year","No",103511,185,0
152511,"Female",25,"41","< 1 Year","No",34394,163,0
84254,"Male",41,"41","1-2 Year","Yes",35200,106,0
262638,"Female",52,"29","1-2 Year","Yes",2630,287,0
14870,"Female",44,"8","1-2 Year","No",70942,250,0
207964,"Male",29,"28","< 1 Year","No",46284,102,0
102078,"Female",26,"11","< 1 Year","No",31170,257,0
197891,"Male",45,"28","1-2 Year","Yes",38346,65,0
21725,"Male",42,"28","> 2 Years","Yes",33488,224,1
244153,"Female",23,"30","< 1 Year","No",22869,273,0
347597,"Male",43,"28","1-2 Year","Yes",42503,18,0
126057,"Male",73,"28","1-2 Year","No",81028,47,0
30545,"Male",46,"11","1-2 Year","No",42085,296,0
190634,"Male",39,"28","1-2 Year","Yes",36445,33,0
294397,"Male",33,"28","< 1 Year","Yes",37806,212,0
290168,"Male",25,"29","1-2 Year","Yes",35500,59,0
208388,"Female",77,"28","1-2 Year","Yes",96941,281,0
196494,"Male",20,"8","< 1 Year","No",45774,298,0
150932,"Female",23,"28","< 1 Year","Yes",47514,52,0
212283,"Female",22,"30","< 1 Year","No",42290,162,0
356215,"Male",25,"30","< 1 Year","Yes",29701,121,0
135326,"Female",25,"8","< 1 Year","No",38603,163,0
274390,"Male",60,"28","1-2 Year","Yes",58609,12,1
128440,"Male",30,"28","1-2 Year","Yes",2630,275,0
318750,"Male",56,"30","1-2 Year","No",39055,261,0
266747,"Male",33,"28","1-2 Year","Yes",34889,136,0
124434,"Female",32,"28","1-2 Year","Yes",45616,240,0
341099,"Male",43,"28","1-2 Year","Yes",31952,90,1
218815,"Female",73,"28","> 2 Years","Yes",42165,126,0
85649,"Female",47,"28","1-2 Year","Yes",33057,196,0
178746,"Male",25,"29","< 1 Year","Yes",24818,89,1
178036,"Female",22,"11","< 1 Year","No",29565,112,0
38268,"Male",51,"28","1-2 Year","Yes",47138,168,0
337711,"Female",40,"28","1-2 Year","No",45779,198,0
235684,"Male",22,"41","< 1 Year","No",35235,195,0
296507,"Female",21,"50","< 1 Year","Yes",34259,107,0
3567,"Male",56,"28","1-2 Year","Yes",69009,52,1
40162,"Male",20,"28","< 1 Year","Yes",2630,186,0
265269,"Male",55,"3","1-2 Year","No",22995,203,0
296202,"Male",33,"28","< 1 Year","No",23968,51,0
257150,"Male",58,"46","1-2 Year","No",42515,265,0
273696,"Male",56,"8","1-2 Year","Yes",23601,86,0
137727,"Male",30,"28","< 1 Year","Yes",43199,288,1
137534,"Male",49,"28","1-2 Year","Yes",39051,78,0
225718,"Female",75,"28","1-2 Year","Yes",27728,35,0
55401,"Female",24,"50","< 1 Year","No",40374,231,0
72736,"Male",46,"28","1-2 Year","No",28349,148,0
189414,"Male",56,"3","1-2 Year","Yes",28407,271,0
189777,"Male",49,"28","> 2 Years","Yes",2630,207,0
171563,"Female",21,"46","< 1 Year","No",30922,123,0
157881,"Male",22,"8","< 1 Year","No",47288,295,0
107731,"Female",41,"28","1-2 Year","No",48598,63,0
42406,"Female",24,"8","< 1 Year","No",34962,106,0
130813,"Male",43,"28","1-2 Year","No",28258,261,0
154051,"Male",45,"28","1-2 Year","No",34444,149,0
80644,"Male",23,"11","< 1 Year","No",30282,48,0
101260,"Female",27,"8","< 1 Year","Yes",2630,207,0
105365,"Female",68,"3","1-2 Year","No",39836,278,0
315764,"Female",24,"28","< 1 Year","Yes",56510,84,0
3652,"Male",63,"28","> 2 Years","Yes",59269,292,0
84194,"Male",47,"28","1-2 Year","Yes",34403,54,1
82116,"Male",34,"28","1-2 Year","Yes",19608,215,1
128337,"Male",50,"8","1-2 Year","Yes",2630,44,0
78434,"Female",56,"28","1-2 Year","Yes",57720,148,1
94961,"Female",23,"8","< 1 Year","No",44370,209,0
330533,"Female",52,"28","1-2 Year","No",32195,27,0
363949,"Male",26,"30","< 1 Year","No",33409,30,0
174178,"Male",51,"28","1-2 Year","No",40730,239,0
187486,"Female",31,"28","< 1 Year","Yes",45365,123,0
49206,"Male",24,"41","< 1 Year","Yes",25164,96,0
104726,"Male",45,"8","1-2 Year","Yes",32257,82,1
276074,"Female",21,"11","< 1 Year","Yes",31282,194,0
259143,"Male",65,"28","1-2 Year","Yes",41544,157,1
300114,"Male",29,"3","1-2 Year","Yes",24754,297,0
274090,"Male",22,"50","< 1 Year","No",35088,213,0
226858,"Female",35,"28","1-2 Year","Yes",74807,200,0
111309,"Male",34,"41","1-2 Year","No",21714,275,0
317440,"Male",26,"29","< 1 Year","No",33334,107,0
161723,"Male",50,"28","1-2 Year","Yes",18756,267,1
248000,"Male",56,"28","> 2 Years","Yes",34921,285,0
152168,"Male",38,"41","1-2 Year","No",30937,62,0
177367,"Female",26,"8","< 1 Year","No",36462,195,0
159455,"Male",20,"15","< 1 Year","Yes",31034,99,0
264981,"Male",47,"41","1-2 Year","Yes",36520,201,0
307166,"Male",44,"8","1-2 Year","No",33918,281,0
132097,"Male",49,"28","1-2 Year","Yes",38112,108,1
186431,"Female",20,"8","< 1 Year","Yes",54923,65,0
152777,"Male",39,"46","1-2 Year","No",27780,268,0
41369,"Female",43,"28","1-2 Year","No",44919,294,0
110606,"Male",45,"41","1-2 Year","Yes",28600,294,0
288841,"Male",21,"46","< 1 Year","No",36343,280,0
297436,"Female",49,"28","1-2 Year","Yes",28373,254,0
122497,"Male",21,"46","< 1 Year","No",52331,73,0
129134,"Female",35,"3","1-2 Year","Yes",29204,142,0
219929,"Male",23,"15","< 1 Year","Yes",2630,160,0
81868,"Male",63,"46","1-2 Year","Yes",28011,94,0
7927,"Male",36,"30","1-2 Year","Yes",2630,229,0
